created_at,total_tweets,total_unique_user_ids
1,26037,17559
2,24481,16591
3,24028,16367
4,23722,16156
5,24381,16197
6,26670,17967
7,19786,13760
8,22580,15541
9,20005,13922
10,19043,13201
11,16318,11383
12,12828,9017
13,10458,7194
14,18621,12821
15,20113,13836
16,24116,16064
17,22556,15177
18,18573,12885
19,16792,11688
20,16054,11134
21,16652,11665
22,16757,11624
23,16600,11642
24,18329,12731
25,15992,11159
26,15626,10780
27,15839,10932
28,14585,10370
29,15878,11101
30,14313,10145